,year,month,weeknum,weekday,freq_complian,freq_motor
761,2010,6,23,3,1386,
762,2012,6,24,6,1343,
763,2014,6,25,3,1569,663
764,2014,10,41,5,1375,541
765,2007,10,40,5,1698,
766,2010,1,1,4,1581,
767,2007,1,2,2,1596,
768,2013,4,17,2,1353,513
769,2008,1,3,4,1543,
770,2015,9,37,3,1490,740
771,2009,8,35,2,1630,
772,2011,12,49,2,1374,
773,2008,2,6,4,1552,
774,2007,4,15,6,1360,
775,2013,11,46,6,1442,612
776,2009,12,50,7,1084,
777,2008,8,33,7,1363,
778,2007,5,18,2,1652,
779,2012,1,52,7,1312,
780,2008,12,50,6,1316,
781,2011,12,50,3,1433,
782,2013,9,37,3,1492,577
783,2013,5,20,4,1532,559
784,2013,3,13,3,1355,441
785,2010,4,16,4,1595,
786,2007,1,5,1,1333,
787,2012,3,9,4,1371,
788,2009,3,10,6,1457,
789,2008,10,40,4,1554,
790,2013,9,36,4,1529,493
791,2011,4,16,1,1364,
792,2014,12,49,1,1349,644
793,2013,12,49,4,1511,573
794,2014,8,34,4,1513,567
795,2012,2,9,1,1358,
796,2007,10,42,1,1501,
797,2010,4,15,5,1521,
798,2009,2,7,2,1467,
799,2006,5,22,3,1631,
800,2014,9,37,6,1282,558
801,2010,11,47,6,1292,
802,2012,1,5,2,1543,
803,2011,6,25,6,1443,
804,2011,4,15,4,1609,
805,2008,6,25,7,1275,
806,2014,11,44,7,1101,532
807,2014,6,26,2,1471,632
808,2011,8,31,2,1495,
809,2015,1,5,3,1153,458
810,2015,2,8,7,945,519
811,2014,10,42,4,1519,602
812,2013,4,16,5,1425,570
813,2006,9,35,6,1109,
814,2009,1,2,2,1481,
815,2010,7,27,4,1544,
816,2009,8,34,1,1555,
817,2012,6,25,1,1488,
818,2008,2,7,7,1114,
819,2010,6,24,4,1591,
820,2007,4,14,5,1329,
821,2008,5,21,4,1539,
822,2011,10,42,1,1357,
823,2006,3,11,4,1537,
824,2006,7,27,4,1609,
825,2011,10,39,6,1253,
826,2008,11,45,4,1495,
827,2009,10,42,7,1123,
828,2015,3,13,7,1103,505
829,2010,11,45,4,1423,
830,2012,12,49,3,1429,514
831,2006,2,5,5,1536,
832,2008,5,22,1,1164,
833,2012,9,38,3,1518,612
834,2006,8,34,2,1615,
835,2010,4,14,2,1475,
836,2007,9,35,7,1281,
837,2012,11,48,1,1314,563
838,2006,10,42,6,1367,
839,2012,2,6,2,1459,
840,2014,12,1,3,875,460
841,2014,2,5,7,1237,417
842,2007,3,13,3,1624,
843,2011,5,19,1,1467,
844,2010,11,46,1,1444,
845,2007,5,21,7,1173,
846,2012,1,4,1,1425,
847,2007,8,32,3,1565,
848,2014,9,36,5,1527,647
849,2011,6,24,5,1445,
850,2012,5,20,1,1370,
851,2010,4,13,5,1358,
852,2010,6,25,7,1220,
853,2010,10,39,7,1246,
854,2013,11,45,3,1458,635
855,2014,10,43,5,1511,669
856,2006,5,18,1,1637,
857,2013,11,48,4,781,429
858,2009,1,3,1,1290,
859,2009,9,37,7,1299,
860,2008,12,49,1,1449,
861,2011,7,30,6,1339,
862,2013,6,26,3,1561,621
863,2007,6,26,3,1608,
